drugA_name,drugA Conc (µM),drugB_name,drugB Conc (µM),cell_line,single_resp_1,single_resp_2,X/X0
AZD1775,0.5,MK-8776,0.325,ES2,0.392020071608456,0.8385913875105667,0.13383
AZD1775,0.5,MK-8776,1.15,ES2,0.392020071608456,0.23029078992869584,0.11915
AZD1775,0.5,MK-8776,4.0,ES2,0.392020071608456,0.21406335083117436,0.15559
AZD1775,0.0325,SN-38,0.000115,ES2,1.0380403655004733,0.9951660298535251,1.01621
AZD1775,0.0325,SN-38,0.0004,ES2,1.0380403655004733,0.9943463200930286,1.01514
AZD1775,0.0325,SN-38,0.00143,ES2,1.0380403655004733,0.9636059433092418,0.97632
AZD1775,0.0325,SN-38,0.005,ES2,1.0380403655004733,0.49266681536853607,0.46199
AZD1775,0.08,SN-38,0.000115,ES2,1.0047657218215647,0.9951660298535251,0.96733
AZD1775,0.08,SN-38,0.0004,ES2,1.0047657218215647,0.9943463200930286,0.96874
AZD1775,0.08,SN-38,0.00143,ES2,1.0047657218215647,0.9636059433092418,0.90645
AZD1775,0.08,SN-38,0.005,ES2,1.0047657218215647,0.49266681536853607,0.43208
AZD1775,0.2,SN-38,0.000115,ES2,0.813688931172448,0.9951660298535251,0.72097
AZD1775,0.2,SN-38,0.0004,ES2,0.813688931172448,0.9943463200930286,0.68968
AZD1775,0.2,SN-38,0.00143,ES2,0.813688931172448,0.9636059433092418,0.55236
AZD1775,0.2,SN-38,0.005,ES2,0.813688931172448,0.49266681536853607,0.37621
AZD1775,0.5,SN-38,0.000115,ES2,0.392020071608456,0.9951660298535251,0.34787
AZD1775,0.5,SN-38,0.0004,ES2,0.392020071608456,0.9943463200930286,0.32898
AZD1775,0.5,SN-38,0.00143,ES2,0.392020071608456,0.9636059433092418,0.32529
AZD1775,0.5,SN-38,0.005,ES2,0.392020071608456,0.49266681536853607,0.25228
MK-4541,0.045,5-FU,0.35,ES2,1.0375676829865657,0.9854496487818329,0.93042
MK-4541,0.045,5-FU,1.08,ES2,1.0375676829865657,0.9854469997658037,0.93866
MK-4541,0.045,5-FU,3.25,ES2,1.0375676829865657,0.8734086686933902,0.85668
MK-4541,0.045,5-FU,10.0,ES2,1.0375676829865657,0.6186849419713609,0.62947
MK-4541,0.2,5-FU,0.35,ES2,1.0287632579087387,0.9854496487818329,0.97329
MK-4541,0.2,5-FU,1.08,ES2,1.0287632579087387,0.9854469997658037,0.91335
MK-4541,0.2,5-FU,3.25,ES2,1.0287632579087387,0.8734086686933902,0.81989
MK-4541,0.2,5-FU,10.0,ES2,1.0287632579087387,0.6186849419713609,0.63912
MK-4541,0.9,5-FU,0.35,ES2,1.0088678817624162,0.9854496487818329,0.96832
MK-4541,0.9,5-FU,1.08,ES2,1.0088678817624162,0.9854469997658037,0.86588
MK-4541,0.9,5-FU,3.25,ES2,1.0088678817624162,0.8734086686933902,0.83107
MK-4541,0.9,5-FU,10.0,ES2,1.0088678817624162,0.6186849419713609,0.59719
MK-4541,4.0,5-FU,0.35,ES2,0.9661982120254112,0.9854496487818329,0.99928
MK-4541,4.0,5-FU,1.08,ES2,0.9661982120254112,0.9854469997658037,0.89448
MK-4541,4.0,5-FU,3.25,ES2,0.9661982120254112,0.8734086686933902,0.79462
MK-4541,4.0,5-FU,10.0,ES2,0.9661982120254112,0.6186849419713609,0.56204
MK-4541,0.045,BEZ-235,0.0045,ES2,1.0375676829865657,1.0197722477233282,1.04839
MK-4541,0.045,BEZ-235,0.02,ES2,1.0375676829865657,0.8389717921001165,0.88541
MK-4541,0.045,BEZ-235,0.09,ES2,1.0375676829865657,0.5000651494263082,0.50564
MK-4541,0.045,BEZ-235,0.4,ES2,1.0375676829865657,0.3593017662752662,0.41394
MK-4541,0.2,BEZ-235,0.0045,ES2,1.0287632579087387,1.0197722477233282,1.06453
MK-4541,0.2,BEZ-235,0.02,ES2,1.0287632579087387,0.8389717921001165,0.83991
MK-4541,0.2,BEZ-235,0.09,ES2,1.0287632579087387,0.5000651494263082,0.49932
MK-4541,0.2,BEZ-235,0.4,ES2,1.0287632579087387,0.3593017662752662,0.45018
MK-4541,0.9,BEZ-235,0.0045,ES2,1.0088678817624162,1.0197722477233282,1.03623
MK-4541,0.9,BEZ-235,0.02,ES2,1.0088678817624162,0.8389717921001165,0.79164
MK-4541,0.9,BEZ-235,0.09,ES2,1.0088678817624162,0.5000651494263082,0.49486
MK-4541,0.9,BEZ-235,0.4,ES2,1.0088678817624162,0.3593017662752662,0.41875
MK-4541,4.0,BEZ-235,0.0045,ES2,0.9661982120254112,1.0197722477233282,0.99701
MK-4541,4.0,BEZ-235,0.02,ES2,0.9661982120254112,0.8389717921001165,0.81118
MK-4541,4.0,BEZ-235,0.09,ES2,0.9661982120254112,0.5000651494263082,0.51101
MK-4541,4.0,BEZ-235,0.4,ES2,0.9661982120254112,0.3593017662752662,0.37543
MK-4541,0.045,L778123,0.325,ES2,1.0375676829865657,0.9688385706515875,0.9436
MK-4541,0.045,L778123,0.8,ES2,1.0375676829865657,0.9687726470714683,0.97515
MK-4541,0.045,L778123,2.0,ES2,1.0375676829865657,0.7486979181575364,0.82008
MK-4541,0.045,L778123,5.0,ES2,1.0375676829865657,0.6301549935754679,0.60986
MK-4541,0.2,L778123,0.325,ES2,1.0287632579087387,0.9688385706515875,0.96177
MK-4541,0.2,L778123,0.8,ES2,1.0287632579087387,0.9687726470714683,0.96366
MK-4541,0.2,L778123,2.0,ES2,1.0287632579087387,0.7486979181575364,0.94652
MK-4541,0.2,L778123,5.0,ES2,1.0287632579087387,0.6301549935754679,0.67834
MK-4541,0.9,L778123,0.325,ES2,1.0088678817624162,0.9688385706515875,1.01943
MK-4541,0.9,L778123,0.8,ES2,1.0088678817624162,0.9687726470714683,0.91029
MK-4541,0.9,L778123,2.0,ES2,1.0088678817624162,0.7486979181575364,0.86366
MK-4541,0.9,L778123,5.0,ES2,1.0088678817624162,0.6301549935754679,0.63412
MK-4541,4.0,L778123,0.325,ES2,0.9661982120254112,0.9688385706515875,0.97759
MK-4541,4.0,L778123,0.8,ES2,0.9661982120254112,0.9687726470714683,0.92548
MK-4541,4.0,L778123,2.0,ES2,0.9661982120254112,0.7486979181575364,0.80381
MK-4541,4.0,L778123,5.0,ES2,0.9661982120254112,0.6301549935754679,0.61338
MK-4541,0.045,PD325901,0.0011,ES2,1.0375676829865657,0.968332265765027,1.06153
MK-4541,0.045,PD325901,0.005,ES2,1.0375676829865657,0.8923664039301039,0.92539
MK-4541,0.045,PD325901,0.0223,ES2,1.0375676829865657,0.6799691008519916,0.63792
MK-4541,0.045,PD325901,0.1,ES2,1.0375676829865657,0.5520824455569198,0.50617
MK-4541,0.2,PD325901,0.0011,ES2,1.0287632579087387,0.968332265765027,1.04691
MK-4541,0.2,PD325901,0.005,ES2,1.0287632579087387,0.8923664039301039,0.93367
MK-4541,0.2,PD325901,0.0223,ES2,1.0287632579087387,0.6799691008519916,0.61704
MK-4541,0.2,PD325901,0.1,ES2,1.0287632579087387,0.5520824455569198,0.50914
MK-4541,0.9,PD325901,0.0011,ES2,1.0088678817624162,0.968332265765027,1.00897
MK-4541,0.9,PD325901,0.005,ES2,1.0088678817624162,0.8923664039301039,0.89607
MK-4541,0.9,PD325901,0.0223,ES2,1.0088678817624162,0.6799691008519916,0.62921
MK-4541,0.9,PD325901,0.1,ES2,1.0088678817624162,0.5520824455569198,0.49611
MK-4541,4.0,PD325901,0.0011,ES2,0.9661982120254112,0.968332265765027,0.96777
MK-4541,4.0,PD325901,0.005,ES2,0.9661982120254112,0.8923664039301039,0.83454
MK-4541,4.0,PD325901,0.0223,ES2,0.9661982120254112,0.6799691008519916,0.61179
MK-4541,4.0,PD325901,0.1,ES2,0.9661982120254112,0.5520824455569198,0.45874
MK-4541,0.045,AZD1775,0.0325,ES2,1.0375676829865657,1.0380403655004733,1.01708
MK-4541,0.045,AZD1775,0.08,ES2,1.0375676829865657,1.0047657218215647,0.99152
MK-4541,0.045,AZD1775,0.2,ES2,1.0375676829865657,0.813688931172448,0.77803
MK-4541,0.045,AZD1775,0.5,ES2,1.0375676829865657,0.392020071608456,0.52734
MK-4541,0.2,AZD1775,0.0325,ES2,1.0287632579087387,1.0380403655004733,1.04056
MK-4541,0.2,AZD1775,0.08,ES2,1.0287632579087387,1.0047657218215647,0.99403
MK-4541,0.2,AZD1775,0.2,ES2,1.0287632579087387,0.813688931172448,0.73492
MK-4541,0.2,AZD1775,0.5,ES2,1.0287632579087387,0.392020071608456,0.36403
MK-4541,0.9,AZD1775,0.0325,ES2,1.0088678817624162,1.0380403655004733,1.04847
MK-4541,0.9,AZD1775,0.08,ES2,1.0088678817624162,1.0047657218215647,0.99577
MK-4541,0.9,AZD1775,0.2,ES2,1.0088678817624162,0.813688931172448,0.74681
MK-4541,0.9,AZD1775,0.5,ES2,1.0088678817624162,0.392020071608456,0.41612
MK-4541,4.0,AZD1775,0.0325,ES2,0.9661982120254112,1.0380403655004733,0.98139
MK-4541,4.0,AZD1775,0.08,ES2,0.9661982120254112,1.0047657218215647,0.94017
MK-4541,4.0,AZD1775,0.2,ES2,0.9661982120254112,0.813688931172448,0.81221
MK-4541,4.0,AZD1775,0.5,ES2,0.9661982120254112,0.392020071608456,0.39605
MK-4541,0.045,MK-4827,0.223,ES2,1.0375676829865657,1.0064639491839538,1.06927
MK-4541,0.045,MK-4827,0.775,ES2,1.0375676829865657,1.006463825756534,1.04593
MK-4541,0.045,MK-4827,2.75,ES2,1.0375676829865657,0.9696983199160092,0.87515
MK-4541,0.045,MK-4827,10.0,ES2,1.0375676829865657,0.3803749468320082,0.46492
MK-4541,0.2,MK-4827,0.223,ES2,1.0287632579087387,1.0064639491839538,1.04578
MK-4541,0.2,MK-4827,0.775,ES2,1.0287632579087387,1.006463825756534,1.07142
MK-4541,0.2,MK-4827,2.75,ES2,1.0287632579087387,0.9696983199160092,0.98903
MK-4541,0.2,MK-4827,10.0,ES2,1.0287632579087387,0.3803749468320082,0.49337
MK-4541,0.9,MK-4827,0.223,ES2,1.0088678817624162,1.0064639491839538,1.01659
MK-4541,0.9,MK-4827,0.775,ES2,1.0088678817624162,1.006463825756534,0.99177
MK-4541,0.9,MK-4827,2.75,ES2,1.0088678817624162,0.9696983199160092,0.88409
MK-4541,0.9,MK-4827,10.0,ES2,1.0088678817624162,0.3803749468320082,0.47258
MK-4541,4.0,MK-4827,0.223,ES2,0.9661982120254112,1.0064639491839538,0.92577
MK-4541,4.0,MK-4827,0.775,ES2,0.9661982120254112,1.006463825756534,0.99256
MK-4541,4.0,MK-4827,2.75,ES2,0.9661982120254112,0.9696983199160092,0.94644
MK-4541,4.0,MK-4827,10.0,ES2,0.9661982120254112,0.3803749468320082,0.50128
MK-4541,0.045,MK-8776,0.0925,ES2,1.0375676829865657,1.0627866742974246,1.02444
MK-4541,0.045,MK-8776,0.325,ES2,1.0375676829865657,0.8385913875105667,0.91282
MK-4541,0.045,MK-8776,1.15,ES2,1.0375676829865657,0.23029078992869584,0.29077
MK-4541,0.045,MK-8776,4.0,ES2,1.0375676829865657,0.21406335083117436,0.25272
MK-4541,0.2,MK-8776,0.0925,ES2,1.0287632579087387,1.0627866742974246,1.02188
MK-4541,0.2,MK-8776,0.325,ES2,1.0287632579087387,0.8385913875105667,0.87712
MK-4541,0.2,MK-8776,1.15,ES2,1.0287632579087387,0.23029078992869584,0.32278
MK-4541,0.2,MK-8776,4.0,ES2,1.0287632579087387,0.21406335083117436,0.24283
MK-4541,0.9,MK-8776,0.0925,ES2,1.0088678817624162,1.0627866742974246,0.92839
MK-4541,0.9,MK-8776,0.325,ES2,1.0088678817624162,0.8385913875105667,0.83816
MK-4541,0.9,MK-8776,1.15,ES2,1.0088678817624162,0.23029078992869584,0.31278
MK-4541,0.9,MK-8776,4.0,ES2,1.0088678817624162,0.21406335083117436,0.25015
MK-4541,4.0,MK-8776,0.0925,ES2,0.9661982120254112,1.0627866742974246,0.87502
MK-4541,4.0,MK-8776,0.325,ES2,0.9661982120254112,0.8385913875105667,0.86382
MK-4541,4.0,MK-8776,1.15,ES2,0.9661982120254112,0.23029078992869584,0.33454
MK-4541,4.0,MK-8776,4.0,ES2,0.9661982120254112,0.21406335083117436,0.2571
MK-4541,0.045,SN-38,0.000115,ES2,1.0375676829865657,0.9951660298535251,0.9457
MK-4541,0.045,SN-38,0.0004,ES2,1.0375676829865657,0.9943463200930286,1.05633
MK-4541,0.045,SN-38,0.00143,ES2,1.0375676829865657,0.9636059433092418,1.03637
MK-4541,0.045,SN-38,0.005,ES2,1.0375676829865657,0.49266681536853607,0.45498
MK-4541,0.2,SN-38,0.000115,ES2,1.0287632579087387,0.9951660298535251,0.95728
MK-4541,0.2,SN-38,0.0004,ES2,1.0287632579087387,0.9943463200930286,1.05075
MK-4541,0.2,SN-38,0.00143,ES2,1.0287632579087387,0.9636059433092418,0.98125
MK-4541,0.2,SN-38,0.005,ES2,1.0287632579087387,0.49266681536853607,0.49497
MK-4541,0.9,SN-38,0.000115,ES2,1.0088678817624162,0.9951660298535251,0.98537
MK-4541,0.9,SN-38,0.0004,ES2,1.0088678817624162,0.9943463200930286,1.01975
MK-4541,0.9,SN-38,0.00143,ES2,1.0088678817624162,0.9636059433092418,1.02094
MK-4541,0.9,SN-38,0.005,ES2,1.0088678817624162,0.49266681536853607,0.46971
MK-4541,4.0,SN-38,0.000115,ES2,0.9661982120254112,0.9951660298535251,0.99289
MK-4541,4.0,SN-38,0.0004,ES2,0.9661982120254112,0.9943463200930286,0.99059
MK-4541,4.0,SN-38,0.00143,ES2,0.9661982120254112,0.9636059433092418,0.9484
MK-4541,4.0,SN-38,0.005,ES2,0.9661982120254112,0.49266681536853607,0.43367
MK-4827,0.223,BEZ-235,0.0045,ES2,1.0064639491839538,1.0197722477233282,1.05351
MK-4827,0.223,BEZ-235,0.02,ES2,1.0064639491839538,0.8389717921001165,0.83717
MK-4827,0.223,BEZ-235,0.09,ES2,1.0064639491839538,0.5000651494263082,0.51411
MK-4827,0.223,BEZ-235,0.4,ES2,1.0064639491839538,0.3593017662752662,0.39035
MK-4827,0.775,BEZ-235,0.0045,ES2,1.006463825756534,1.0197722477233282,0.77491
MK-4827,0.775,BEZ-235,0.02,ES2,1.006463825756534,0.8389717921001165,0.83177
MK-4827,0.775,BEZ-235,0.09,ES2,1.006463825756534,0.5000651494263082,0.53783
MK-4827,0.775,BEZ-235,0.4,ES2,1.006463825756534,0.3593017662752662,0.41586
MK-4827,2.75,BEZ-235,0.0045,ES2,0.9696983199160092,1.0197722477233282,0.97023
MK-4827,2.75,BEZ-235,0.02,ES2,0.9696983199160092,0.8389717921001165,0.80905
MK-4827,2.75,BEZ-235,0.09,ES2,0.9696983199160092,0.5000651494263082,0.48268
MK-4827,2.75,BEZ-235,0.4,ES2,0.9696983199160092,0.3593017662752662,0.39616
MK-4827,10.0,BEZ-235,0.0045,ES2,0.3803749468320082,1.0197722477233282,0.45389
MK-4827,10.0,BEZ-235,0.02,ES2,0.3803749468320082,0.8389717921001165,0.47024
MK-4827,10.0,BEZ-235,0.09,ES2,0.3803749468320082,0.5000651494263082,0.36941
MK-4827,10.0,BEZ-235,0.4,ES2,0.3803749468320082,0.3593017662752662,0.33746
MK-4827,0.223,PD325901,0.0011,ES2,1.0064639491839538,0.968332265765027,1.0335
MK-4827,0.223,PD325901,0.005,ES2,1.0064639491839538,0.8923664039301039,0.86694
MK-4827,0.223,PD325901,0.0223,ES2,1.0064639491839538,0.6799691008519916,0.70959
MK-4827,0.223,PD325901,0.1,ES2,1.0064639491839538,0.5520824455569198,0.55775
MK-4827,0.775,PD325901,0.0011,ES2,1.006463825756534,0.968332265765027,1.05472
MK-4827,0.775,PD325901,0.005,ES2,1.006463825756534,0.8923664039301039,0.83528
MK-4827,0.775,PD325901,0.0223,ES2,1.006463825756534,0.6799691008519916,0.71263
MK-4827,0.775,PD325901,0.1,ES2,1.006463825756534,0.5520824455569198,0.52659
MK-4827,2.75,PD325901,0.0011,ES2,0.9696983199160092,0.968332265765027,0.96332
MK-4827,2.75,PD325901,0.005,ES2,0.9696983199160092,0.8923664039301039,0.78205
MK-4827,2.75,PD325901,0.0223,ES2,0.9696983199160092,0.6799691008519916,0.64363
MK-4827,2.75,PD325901,0.1,ES2,0.9696983199160092,0.5520824455569198,0.49221
MK-4827,10.0,PD325901,0.0011,ES2,0.3803749468320082,0.968332265765027,0.46764
MK-4827,10.0,PD325901,0.005,ES2,0.3803749468320082,0.8923664039301039,0.39909
MK-4827,10.0,PD325901,0.0223,ES2,0.3803749468320082,0.6799691008519916,0.4133
MK-4827,10.0,PD325901,0.1,ES2,0.3803749468320082,0.5520824455569198,0.372
MK-4827,0.223,MK-8776,0.0925,ES2,1.0064639491839538,1.0627866742974246,0.979
MK-4827,0.223,MK-8776,0.325,ES2,1.0064639491839538,0.8385913875105667,0.86887
MK-4827,0.223,MK-8776,1.15,ES2,1.0064639491839538,0.23029078992869584,0.44083
MK-4827,0.223,MK-8776,4.0,ES2,1.0064639491839538,0.21406335083117436,0.3267
MK-4827,0.775,MK-8776,0.0925,ES2,1.006463825756534,1.0627866742974246,1.02937
MK-4827,0.775,MK-8776,0.325,ES2,1.006463825756534,0.8385913875105667,0.87965
MK-4827,0.775,MK-8776,1.15,ES2,1.006463825756534,0.23029078992869584,0.37827
MK-4827,0.775,MK-8776,4.0,ES2,1.006463825756534,0.21406335083117436,0.32298
MK-4827,2.75,MK-8776,0.0925,ES2,0.9696983199160092,1.0627866742974246,0.91533
MK-4827,2.75,MK-8776,0.325,ES2,0.9696983199160092,0.8385913875105667,0.73778
MK-4827,2.75,MK-8776,1.15,ES2,0.9696983199160092,0.23029078992869584,0.34157
MK-4827,2.75,MK-8776,4.0,ES2,0.9696983199160092,0.21406335083117436,0.3225
MK-4827,10.0,MK-8776,0.0925,ES2,0.3803749468320082,1.0627866742974246,0.49869
MK-4827,10.0,MK-8776,0.325,ES2,0.3803749468320082,0.8385913875105667,0.44452
MK-4827,10.0,MK-8776,1.15,ES2,0.3803749468320082,0.23029078992869584,0.36209
MK-4827,10.0,MK-8776,4.0,ES2,0.3803749468320082,0.21406335083117436,0.32815
MK-4827,0.223,SN-38,0.000115,ES2,1.0064639491839538,0.9951660298535251,0.93378
MK-4827,0.223,SN-38,0.0004,ES2,1.0064639491839538,0.9943463200930286,1.02069
MK-4827,0.223,SN-38,0.00143,ES2,1.0064639491839538,0.9636059433092418,0.90572
MK-4827,0.223,SN-38,0.005,ES2,1.0064639491839538,0.49266681536853607,0.41684
MK-4827,0.775,SN-38,0.000115,ES2,1.006463825756534,0.9951660298535251,0.93116
MK-4827,0.775,SN-38,0.0004,ES2,1.006463825756534,0.9943463200930286,0.9323
MK-4827,0.775,SN-38,0.00143,ES2,1.006463825756534,0.9636059433092418,0.78877
MK-4827,0.775,SN-38,0.005,ES2,1.006463825756534,0.49266681536853607,0.40481
MK-4827,2.75,SN-38,0.000115,ES2,0.9696983199160092,0.9951660298535251,0.82764
MK-4827,2.75,SN-38,0.0004,ES2,0.9696983199160092,0.9943463200930286,0.74044
MK-4827,2.75,SN-38,0.00143,ES2,0.9696983199160092,0.9636059433092418,0.46661
MK-4827,2.75,SN-38,0.005,ES2,0.9696983199160092,0.49266681536853607,0.37595
MK-4827,10.0,SN-38,0.000115,ES2,0.3803749468320082,0.9951660298535251,0.44389
MK-4827,10.0,SN-38,0.0004,ES2,0.3803749468320082,0.9943463200930286,0.42226
MK-4827,10.0,SN-38,0.00143,ES2,0.3803749468320082,0.9636059433092418,0.43086
MK-4827,10.0,SN-38,0.005,ES2,0.3803749468320082,0.49266681536853607,0.34799
SN-38,0.000115,MK-8776,0.0925,ES2,0.9951660298535251,1.0627866742974246,1.01531
SN-38,0.000115,MK-8776,0.325,ES2,0.9951660298535251,0.8385913875105667,0.85273
SN-38,0.000115,MK-8776,1.15,ES2,0.9951660298535251,0.23029078992869584,0.2879
SN-38,0.000115,MK-8776,4.0,ES2,0.9951660298535251,0.21406335083117436,0.2235
SN-38,0.0004,MK-8776,0.0925,ES2,0.9943463200930286,1.0627866742974246,1.02548
SN-38,0.0004,MK-8776,0.325,ES2,0.9943463200930286,0.8385913875105667,0.80507
SN-38,0.0004,MK-8776,1.15,ES2,0.9943463200930286,0.23029078992869584,0.26018
SN-38,0.0004,MK-8776,4.0,ES2,0.9943463200930286,0.21406335083117436,0.22269
SN-38,0.00143,MK-8776,0.0925,ES2,0.9636059433092418,1.0627866742974246,0.99265
SN-38,0.00143,MK-8776,0.325,ES2,0.9636059433092418,0.8385913875105667,0.69373
SN-38,0.00143,MK-8776,1.15,ES2,0.9636059433092418,0.23029078992869584,0.21297
SN-38,0.00143,MK-8776,4.0,ES2,0.9636059433092418,0.21406335083117436,0.23188
SN-38,0.005,MK-8776,0.0925,ES2,0.49266681536853607,1.0627866742974246,0.47822
SN-38,0.005,MK-8776,0.325,ES2,0.49266681536853607,0.8385913875105667,0.3614
SN-38,0.005,MK-8776,1.15,ES2,0.49266681536853607,0.23029078992869584,0.1655
SN-38,0.005,MK-8776,4.0,ES2,0.49266681536853607,0.21406335083117436,0.19098
5-FU,0.35,BEZ-235,0.0045,HCT116,0.9673110733966295,0.98404363676003,0.99443
5-FU,0.35,BEZ-235,0.02,HCT116,0.9673110733966295,0.9740891147946781,1.02139
5-FU,0.35,BEZ-235,0.09,HCT116,0.9673110733966295,0.8962590062134197,0.82025
5-FU,0.35,BEZ-235,0.4,HCT116,0.9673110733966295,0.536473006722689,0.63287
5-FU,1.08,BEZ-235,0.0045,HCT116,0.9673083711945907,0.98404363676003,0.97182
5-FU,1.08,BEZ-235,0.02,HCT116,0.9673083711945907,0.9740891147946781,1.01296
5-FU,1.08,BEZ-235,0.09,HCT116,0.9673083711945907,0.8962590062134197,0.7981
5-FU,1.08,BEZ-235,0.4,HCT116,0.9673083711945907,0.536473006722689,0.61903
5-FU,3.25,BEZ-235,0.0045,HCT116,0.8407662631455697,0.98404363676003,0.76278
5-FU,3.25,BEZ-235,0.02,HCT116,0.8407662631455697,0.9740891147946781,0.88366
5-FU,3.25,BEZ-235,0.09,HCT116,0.8407662631455697,0.8962590062134197,0.63252
5-FU,3.25,BEZ-235,0.4,HCT116,0.8407662631455697,0.536473006722689,0.44973
5-FU,10.0,BEZ-235,0.0045,HCT116,0.41953665071973284,0.98404363676003,0.40899
5-FU,10.0,BEZ-235,0.02,HCT116,0.41953665071973284,0.9740891147946781,0.46259
5-FU,10.0,BEZ-235,0.09,HCT116,0.41953665071973284,0.8962590062134197,0.39995
5-FU,10.0,BEZ-235,0.4,HCT116,0.41953665071973284,0.536473006722689,0.36981
5-FU,0.35,L778123,0.325,HCT116,0.9673110733966295,0.9406563951579286,0.93823
5-FU,0.35,L778123,0.8,HCT116,0.9673110733966295,0.8979643354800672,0.91282
5-FU,0.35,L778123,2.0,HCT116,0.9673110733966295,0.8149455529545091,0.8531
5-FU,0.35,L778123,5.0,HCT116,0.9673110733966295,0.6761890975396848,0.72751
5-FU,1.08,L778123,0.325,HCT116,0.9673083711945907,0.9406563951579286,0.93202
5-FU,1.08,L778123,0.8,HCT116,0.9673083711945907,0.8979643354800672,0.90398
5-FU,1.08,L778123,2.0,HCT116,0.9673083711945907,0.8149455529545091,0.81213
5-FU,1.08,L778123,5.0,HCT116,0.9673083711945907,0.6761890975396848,0.64182
5-FU,3.25,L778123,0.325,HCT116,0.8407662631455697,0.9406563951579286,0.64504
5-FU,3.25,L778123,0.8,HCT116,0.8407662631455697,0.8979643354800672,0.58791
5-FU,3.25,L778123,2.0,HCT116,0.8407662631455697,0.8149455529545091,0.54503
5-FU,3.25,L778123,5.0,HCT116,0.8407662631455697,0.6761890975396848,0.41699
5-FU,10.0,L778123,0.325,HCT116,0.41953665071973284,0.9406563951579286,0.42139
5-FU,10.0,L778123,0.8,HCT116,0.41953665071973284,0.8979643354800672,0.39617
5-FU,10.0,L778123,2.0,HCT116,0.41953665071973284,0.8149455529545091,0.40574
5-FU,10.0,L778123,5.0,HCT116,0.41953665071973284,0.6761890975396848,0.35057
5-FU,0.35,PD325901,0.0011,HCT116,0.9673110733966295,0.9522152752469372,0.98113
5-FU,0.35,PD325901,0.005,HCT116,0.9673110733966295,0.9199065475000595,0.95674
5-FU,0.35,PD325901,0.0223,HCT116,0.9673110733966295,0.8130903129764382,0.86796
5-FU,0.35,PD325901,0.1,HCT116,0.9673110733966295,0.6102229850455946,0.61821
5-FU,1.08,PD325901,0.0011,HCT116,0.9673083711945907,0.9522152752469372,0.95297
5-FU,1.08,PD325901,0.005,HCT116,0.9673083711945907,0.9199065475000595,0.92305
5-FU,1.08,PD325901,0.0223,HCT116,0.9673083711945907,0.8130903129764382,0.77342
5-FU,1.08,PD325901,0.1,HCT116,0.9673083711945907,0.6102229850455946,0.55899
5-FU,3.25,PD325901,0.0011,HCT116,0.8407662631455697,0.9522152752469372,0.76678
5-FU,3.25,PD325901,0.005,HCT116,0.8407662631455697,0.9199065475000595,0.55697
5-FU,3.25,PD325901,0.0223,HCT116,0.8407662631455697,0.8130903129764382,0.4684
5-FU,3.25,PD325901,0.1,HCT116,0.8407662631455697,0.6102229850455946,0.39055
5-FU,10.0,PD325901,0.0011,HCT116,0.41953665071973284,0.9522152752469372,0.40329
5-FU,10.0,PD325901,0.005,HCT116,0.41953665071973284,0.9199065475000595,0.37583
5-FU,10.0,PD325901,0.0223,HCT116,0.41953665071973284,0.8130903129764382,0.35545
5-FU,10.0,PD325901,0.1,HCT116,0.41953665071973284,0.6102229850455946,0.30761
5-FU,0.35,AZD1775,0.0325,HCT116,0.9673110733966295,0.9922331413767156,0.98124
5-FU,0.35,AZD1775,0.08,HCT116,0.9673110733966295,0.9829919290589171,0.99161
5-FU,0.35,AZD1775,0.2,HCT116,0.9673110733966295,0.9342553370085971,0.98919
5-FU,0.35,AZD1775,0.5,HCT116,0.9673110733966295,0.7386819225102443,0.71684
5-FU,1.08,AZD1775,0.0325,HCT116,0.9673083711945907,0.9922331413767156,1.03048
5-FU,1.08,AZD1775,0.08,HCT116,0.9673083711945907,0.9829919290589171,0.96654
5-FU,1.08,AZD1775,0.2,HCT116,0.9673083711945907,0.9342553370085971,0.82848
5-FU,1.08,AZD1775,0.5,HCT116,0.9673083711945907,0.7386819225102443,0.54445
5-FU,3.25,AZD1775,0.0325,HCT116,0.8407662631455697,0.9922331413767156,0.80579
5-FU,3.25,AZD1775,0.08,HCT116,0.8407662631455697,0.9829919290589171,0.60395
5-FU,3.25,AZD1775,0.2,HCT116,0.8407662631455697,0.9342553370085971,0.46302
5-FU,3.25,AZD1775,0.5,HCT116,0.8407662631455697,0.7386819225102443,0.40948
5-FU,10.0,AZD1775,0.0325,HCT116,0.41953665071973284,0.9922331413767156,0.45349
5-FU,10.0,AZD1775,0.08,HCT116,0.41953665071973284,0.9829919290589171,0.40608
5-FU,10.0,AZD1775,0.2,HCT116,0.41953665071973284,0.9342553370085971,0.33983
5-FU,10.0,AZD1775,0.5,HCT116,0.41953665071973284,0.7386819225102443,0.32255
5-FU,0.35,MK-4827,0.223,HCT116,0.9673110733966295,0.9848632752291201,0.9461
5-FU,0.35,MK-4827,0.775,HCT116,0.9673110733966295,0.9778253410912741,1.00477
5-FU,0.35,MK-4827,2.75,HCT116,0.9673110733966295,0.7946062340600292,0.69757
5-FU,0.35,MK-4827,10.0,HCT116,0.9673110733966295,0.4833820997369688,0.50495
5-FU,1.08,MK-4827,0.223,HCT116,0.9673083711945907,0.9848632752291201,0.97291
5-FU,1.08,MK-4827,0.775,HCT116,0.9673083711945907,0.9778253410912741,0.97954
5-FU,1.08,MK-4827,2.75,HCT116,0.9673083711945907,0.7946062340600292,0.72278
